Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,26.378078,26.49077,26.133251,26.168653,26.168653,28951268
1/5/2015,26.091366,26.14472,25.582764,25.623152,25.623152,41196796
1/6/2015,25.679497,25.738087,24.983908,25.029282,25.029282,57998800
1/7/2015,25.280592,25.292759,24.914099,24.986401,24.986401,41301082
1/8/2015,24.831326,25.105074,24.482782,25.065184,25.065184,67071641
1/9/2015,25.1689,25.176876,24.671764,24.740576,24.740576,41427428
1/12/2015,24.679243,24.730902,24.311253,24.56007,24.56007,46535413
1/13/2015,24.873709,25.080141,24.552092,24.741074,24.741074,47409807
1/14/2015,24.664783,25.092607,24.582508,24.974932,24.974932,44714427
1/15/2015,25.209288,25.214773,24.819857,25.020805,25.020805,54316718
1/16/2015,24.932049,25.33993,24.931549,25.334444,25.334444,45965854
1/20/2015,25.480045,25.554838,25.231527,25.275606,25.275606,44640224
1/21/2015,25.293058,25.892912,25.240702,25.831081,25.831081,45374234
1/22/2015,26.002609,26.743076,25.913855,26.646341,26.646341,53538588
1/23/2015,26.706179,27.034277,26.577032,26.92358,26.92358,45634948
1/26/2015,26.852776,26.876211,26.41099,26.687229,26.687229,30874534
1/27/2015,26.425947,26.462349,25.83856,25.8605,25.8605,38080263
1/28/2015,26.067432,26.077904,25.430182,25.430182,25.430182,33676205
1/29/2015,25.480045,25.484531,24.991386,25.463091,25.463091,83727244
1/30/2015,25.72238,26.919592,25.705425,26.652824,26.652824,112127002
2/2/2015,26.513706,26.577032,25.85651,26.351652,26.351652,56996054
2/3/2015,26.327717,26.596977,26.091366,26.389547,26.389547,40773638
2/4/2015,26.389547,26.560678,25.99214,26.066435,26.066435,33273101
2/5/2015,26.117794,26.35265,26.033026,26.306774,26.306774,36995292
2/6/2015,26.309767,26.786457,26.248434,26.477306,26.477306,35270570
2/9/2015,26.327717,26.52717,26.228989,26.319241,26.319241,25355423
2/10/2015,26.392538,26.81139,26.273865,26.773493,26.773493,34997823
2/11/2015,26.691717,26.848787,26.595881,26.725126,26.725126,27555446
2/12/2015,26.788952,27.166414,26.660454,27.072172,27.072172,32404724
2/13/2015,27.093117,27.420218,27.082146,27.375341,27.375341,38006060
2/17/2015,27.26664,27.424706,26.980425,27.067686,27.067686,32336537
2/18/2015,26.995884,27.199823,26.801914,26.911116,26.911116,29061570
2/19/2015,26.828342,27.081148,26.826847,27.069181,27.069181,19782163
2/20/2015,27.082146,27.113062,26.716648,26.873718,26.873718,28887092
2/23/2015,26.729115,26.748512,26.398024,26.522682,26.522682,29157834
2/24/2015,26.427443,26.766014,26.340183,26.73111,26.73111,20101036
2/25/2015,26.721636,27.236223,26.698948,27.119045,27.119045,36519991
2/26/2015,27.086136,27.730865,27.00087,27.697954,27.697954,46230579
2/27/2015,27.636126,28.158192,27.569307,27.843555,27.843555,48203982
3/2/2015,27.949764,28.529173,27.861008,28.488785,28.488785,42592618
3/3/2015,28.444407,28.690729,28.248444,28.60347,28.60347,34095352
3/4/2015,28.515211,28.776493,28.322741,28.590006,28.590006,37536775
3/5/2015,28.672279,28.816385,28.592001,28.687738,28.687738,27792094
3/6/2015,28.665298,28.755053,28.26041,28.306534,28.306534,33182854
3/9/2015,28.265396,28.435431,28.099604,28.364626,28.364626,21242161
3/10/2015,28.135256,28.165173,27.660559,27.67452,27.67452,35846146
3/11/2015,27.681002,27.830591,27.458612,27.483543,27.483543,36415706
3/12/2015,27.599726,27.742332,27.447641,27.699451,27.699451,27792094
3/13/2015,27.599226,27.843555,27.136497,27.291073,27.291073,34071287
3/16/2015,27.472075,27.766268,27.225252,27.649588,27.649588,32819860
3/17/2015,27.509972,27.614185,27.32498,27.466591,27.466591,36110871
3/18/2015,27.549362,27.912367,27.275116,27.898405,27.898405,42690887
3/19/2015,27.89292,27.963226,27.731113,27.823112,27.823112,23945563
3/20/2015,28.005611,28.009102,27.875967,27.941286,27.941286,52337299
3/23/2015,27.944778,28.041014,27.715406,27.863998,27.863998,32876014
3/24/2015,28.050985,28.650839,27.983671,28.43144,28.43144,51665459
3/25/2015,28.446899,28.534658,27.86051,27.862753,27.862753,43045859
3/26/2015,27.803165,27.868486,27.457115,27.682499,27.682499,31452115
3/27/2015,27.574295,27.687983,27.331461,27.341932,27.341932,37949906
3/30/2015,27.505484,27.597731,27.333456,27.525928,27.525928,25750504
3/31/2015,27.424706,27.659561,27.261154,27.32498,27.32498,31760961
4/1/2015,27.354897,27.481548,26.901142,27.053724,27.053724,39261497
4/2/2015,26.968458,26.968458,26.619267,26.703186,26.703186,34327989
4/6/2015,26.538139,26.846792,26.406002,26.764767,26.764767,26488525
4/7/2015,26.830338,27.060205,26.726622,26.777481,26.777481,26057345
4/8/2015,26.845297,27.118048,26.845297,27.006353,27.006353,23570536
4/9/2015,26.977432,27.023308,26.701193,26.964968,26.964968,31157308
4/10/2015,27.04026,27.04026,26.791943,26.926573,26.926573,28189181
4/13/2015,26.846792,27.128519,26.791943,26.884687,26.884687,32906096
4/14/2015,26.739088,26.804907,26.332306,26.44689,26.44689,52082601
4/15/2015,26.362621,26.663296,26.089373,26.553596,26.553596,46376979
4/16/2015,26.422457,26.706179,26.407997,26.616922,26.616922,25997180
4/17/2015,26.360626,26.419464,25.979174,26.130758,26.130758,43037837
4/20/2015,26.208046,26.73111,26.153196,26.695707,26.695707,33585958
4/21/2015,26.801914,26.895658,26.610689,26.625401,26.625401,36895018
4/22/2015,26.646841,26.979927,26.514704,26.894411,26.894411,31871263
4/23/2015,26.975939,27.472574,26.937544,27.275116,27.275116,83697161
4/24/2015,28.227501,28.478811,27.786213,28.175644,28.175644,98650102
4/27/2015,28.1695,28.297501,27.66,27.768499,27.768499,47960000
4/28/2015,27.732,27.801001,27.518299,27.684,27.684,29820000
4/29/2015,27.5235,27.684,27.345249,27.454,27.454,33976000
4/30/2015,27.393499,27.429501,26.752501,26.867001,26.867001,41644000
5/1/2015,26.921499,26.976999,26.605,26.895,26.895,35364000
5/4/2015,26.9265,27.203501,26.753,27.039,27.039,26160000
5/5/2015,26.9105,26.987,26.51955,26.540001,26.540001,27662000
5/6/2015,26.562,26.618999,26.054251,26.211,26.211,31340000
5/7/2015,26.199499,26.673,26.0875,26.535,26.535,30926000
5/8/2015,26.8325,27.057501,26.25,26.910999,26.910999,30552000
5/11/2015,26.918501,27.099001,26.77,26.785,26.785,18106000
5/12/2015,26.58,26.66045,26.263,26.452,26.452,32684000
5/13/2015,26.528,26.716101,26.432751,26.481001,26.481001,25046000
5/14/2015,26.688499,26.950001,26.620501,26.92,26.92,28078000
5/15/2015,26.959,26.963699,26.518999,26.692499,26.692499,39426000
5/18/2015,26.6005,26.740999,26.442499,26.615,26.615,40068000
5/19/2015,26.698999,27.033001,26.652,26.868,26.868,39338000
5/20/2015,26.9245,27.146,26.6486,26.963499,26.963499,28616000
5/21/2015,26.897499,27.191999,26.799,27.1255,27.1255,29254000
5/22/2015,27.0075,27.209499,26.9755,27.005501,27.005501,23524000
5/26/2015,26.906,26.950001,26.493999,26.615999,26.615999,48130000
5/27/2015,26.639999,27.0275,26.585501,26.9895,26.9895,30500000
5/28/2015,26.900499,27.0305,26.8125,26.989,26.989,20596000
5/29/2015,26.8685,26.931499,26.5725,26.605499,26.605499,51948000
6/1/2015,26.8395,26.8395,26.488001,26.699499,26.699499,38086000
6/2/2015,26.6465,27.15,26.5665,26.959,26.959,38780000
6/3/2015,26.995501,27.174999,26.855499,27.015499,27.015499,34340000
6/4/2015,26.888,27.029499,26.716,26.834999,26.834999,26966000
6/5/2015,26.817499,26.860001,26.625999,26.6665,26.6665,27764000
6/8/2015,26.665501,26.705999,26.312,26.341499,26.341499,30412000
6/9/2015,26.378,26.459999,26.150499,26.334499,26.334499,29106000
6/10/2015,26.468,26.917999,26.467501,26.834499,26.834499,36300000
6/11/2015,26.921249,26.948999,26.650999,26.730499,26.730499,24350000
6/12/2015,26.58,26.656,26.507999,26.616501,26.616501,19116000
6/15/2015,26.4,26.415001,26.200001,26.360001,26.360001,32654000
6/16/2015,26.42,26.482,26.278,26.407499,26.407499,21436000
6/17/2015,26.4685,26.549,26.254999,26.462999,26.462999,25884000
6/18/2015,26.549999,26.907499,26.539499,26.8365,26.8365,36662000
6/19/2015,26.8605,26.9125,26.650499,26.834499,26.834499,37870000
6/22/2015,26.9795,27.187,26.876499,26.9095,26.9095,25006000
6/23/2015,26.982,27.074949,26.762501,27.024,27.024,23950000
6/24/2015,27,27,26.783001,26.892,26.892,25732000
6/25/2015,26.943501,27.045,26.761499,26.761499,26.761499,26714000
6/26/2015,26.863001,26.888,26.567499,26.584499,26.584499,42182000
6/29/2015,26.2505,26.4305,26.027,26.076,26.076,38756000
6/30/2015,26.301001,26.3125,26.025,26.025499,26.025499,44344000
7/1/2015,26.2365,26.2845,25.911501,26.091999,26.091999,39220000
